abstract	author	category	desc	level	title	weekday	start_dt	end_dt
Generators: The Final Frontier This tutorial explores advanced uses of generators and coroutines for customizing various aspects of program control-flow.   The tutorial will involve looking, in detail, at a series of interesting examples which include the following:   Defining new context managers (@contextmanager decorator)   Inlining callback functions (e.g., understanding tricks underlying features such as the inlineCallbacks decorator in Twisted).   Yieldable threads (side-stepping the GIL).   Implementing simple actors (communicating tasks).   Using generators to eliminate recursion (avoiding the interpreter recursion limit).   Although the main focus of the tutorial is on generators, attendees will gain a lot of insight into the inner workings and design of the above topics and how they related to advanced libraries and frameworks.	David Beazley	Python Core (language, stdlib, etc.)	Python generators have long been useful for solving all sorts of problems involving iteration and data flow.  However, one of their more powerful uses is in customizing various aspects of program control flow.   In this tutorial, we'll look at some more exotic uses of generators such as writing context managers, inlining callback functions, eliminating recursion, implementing actors, and more.	Experienced	Generators:  The Final Frontier	Thursday	2014-04-10 09:00:00	2014-04-10 12:20:00
To be useful and trustworthy, specifications and tests need to exist as executable code, not just as documents for human reading.  That realization has begun to spread to the field of documentation as well.   Doctests were possibly the first prominent Python technology to blur the boundary between documentation and executable code.   In recent years, several other technologies have arisen, including  the doctest and autorun extensions, which insert code execution results into Sphinx documents Dexy, which generates rich documents in virtually any format from templates that combine documentation and code the IPython Notebook, which combines a full Python client with rich webpage display and Markdown-based documentation  I'll explain the problems solved by executable documentation, then introduce the audience briefly to each of these types of technologies and explain what kinds of documentation each is suitable for.	Catherine Devlin	Education	Code executes.  Docs just sit there looking pretty.  Now it's time to blur that boundary!  Tools like the IPython Notebook, Sphinx, dexy, and old-fashioned doctests blend code with docs, making package docs, educational materials, and system-level docs more engaging, relevant, and trustworthy.	Intermediate	See Docs Run.  Run, Docs, Run!	Sunday	2014-04-13 13:50:00	2014-04-13 14:20:00
This tutorial is a systematic introduction to descriptors and metaclasses. It covers all relevant information with a focus on practical applications for common tasks. It is a part of the advanced training I've been delivering over the last years in open and in-house courses as well as trainings at EuroPython, PyCon PL, PyCon DE and PyCon IE. The material has been continuously refined owing to the participant feedback.	Mike Müller	Python Core (language, stdlib, etc.)	Descriptors and metaclasses are advanced Python features. While it is possible to write Python programs without active of knowledge of them, knowing how they work provides a deeper understanding about the language. Using examples, you will learn how they work and when to use as well as when better not to use them. Use cases provide working code that can serve as a base for own solutions.	Intermediate	Descriptors and Metaclasses - Understanding and Using Python's More Advanced Features	Wednesday	2014-04-09 09:00:00	2014-04-09 12:20:00
Since I started doing free-lance python web-applications work, I've been getting a lot of questions from friends about how I became a full-stack python web apps developer. Some of my friends are strong front-end engineers that want to do more API level programming, others are back-end/infrastructure engineers who to know more about human computer interaction, front-end, and feature building. This talk will focus on how to build a full-stack web application and the python specific research that I have amassed over the past several years. My goal with the talk would be to give people a conceptual understanding of all the different parts of a web-application first. Giving them the big picture will help them to organize the more specific technical information that I give them as I go on.  I will then drill into the different major parts of the application and present them with the research I have collected about how they can set things up, what tools they can use, what the trade-offs are, etc. The major sections include production server configuration, local development environments, deploying, and integration with third party sites.  I will also touch on monitoring, exception handling and notification, and a few other things are not necessary for individual projects but important as you start to scale.  Next, I will talk about the application code layer and many of the python libraries and tools they can use to make it feasible for them to build a full-stack web application on their own. An example is django-supervisor, which is a pip installation that provides a very simple interface that allows engineers to use supervisor without messing with the conf files on the machine. I also plan to offer party favors in the form of starter code repositories and instructions. My goal is to make learning different parts of the python stack more accessible to people, giving them some toys to play with and a place to start. Ultimately, this can lead to more well-rounded engineers who understand how to go about researching and gaining proficiency in new parts of the stack on their own.	Kate Heddleston	Best Practices & Patterns	This is a talk about building full-stack python web applications where you manage every part of the application yourself. I will walk through how to setup a production server with your web application code, a local development environment using vagrant, and how to deploy from your local environment to production. I will also walk through python and Django libraries that will make your life easier.	Intermediate	So you want to be a full-stack developer? How to build a full-stack python web application.	Friday	2014-04-11 11:30:00	2014-04-11 12:00:00
There are a lot of things to think about when releasing code to the world, if you want others to be able to use it and contribute back. We'll cover:  The structure of an open-source Python project Choosing a license Documentation with Sphinx and ReadTheDocs Multi-version testing with Tox, coverage measurement with coverage.py, and continuous integration with TravisCI Writing a setup.py and releasing to PyPI Semantic versioning Helping people contribute to your project 	Carl Meyer	Best Practices & Patterns	Got some code that you've written that would be useful to others, but actually releasing it feels like too much new stuff to figure out? Releasing software does take some work, but this talk will take you step-by-step through the process with specific recommendations and tools. We'll cover preparing your code for release, packaging it, releasing it, and maintaining it over time.	Novice	Set your code free: releasing and maintaining an open-source Python project	Sunday	2014-04-13 14:30:00	2014-04-13 15:00:00
Want to get started with Django beyond the polls app? Based on the first few episodes of Getting Stared With Django, this tutorial will cover handy patterns for starting Django projects and apps. Taking off We'll cover quick improvements to settings, common apps to help you get your apps off the ground faster, and other patterns that make wrangling Django easier. We'll also cover patterns for how to, and where to, separate out apps and functionality to make re-use easier later on. Airborne During all of this, we'll take a simple app from startproject to deployment on Heroku (conference network permitting). This tutorial isn't for absolute Django beginners, but so long as you've done the Polls tutorial, you shouldn't be in over your head. It'll be fast-paced, hand-on, and thorough, so bring your computer and your typing fingers!	Kenneth Love	Web Frameworks	Getting Started With Django is a well-established series of videos teaching best practices and common approaches for building web apps to people new to Django. This tutorial combines the first few lessons into a single lesson. Attendees will follow along as I start and build an entire simple web app and, network permitting, deploy it to Heroku.	Novice	Getting Started with Django, a crash course	Wednesday	2014-04-09 09:00:00	2014-04-09 12:20:00
I will walk through the practicalities of building a simple video game from scratch, starting with presenting one approach to structuring the game code to keep it sane. I will talk about what libraries are available and then focus on the facilities present in the library used in the tutorial. I will then walk through the development of a simple game during which the attendees will code the game. Once the game is developed I will talk about potential further development that possibilities and use the remaining tutorial time to encourage and assist attendees in their efforts to do so. The game developed will cover the key game-writing skills of controlling what appears on the screen (including tile mapping and animation), loading resources, handling user input and simulating the environment within the game. There will be demonstrations and discussion of the various tools that may be used to create game assets (tile maps, sprites and sound effects.) The tutorial will also cover packaging the game for distribution both via PyPI and as a stand-alone executable.	Richard Jones	Gaming	This tutorial will walk the attendees through development of a simple game using PyGame with time left over for some experimentation and exploration of different types of games.	Novice	Introduction to game programming	Thursday	2014-04-10 09:00:00	2014-04-10 12:20:00
Are you interested in doing analysis using Python but don't know where to start? Then this tutorial is for you!  You've probably heard about how great Pandas and iPython are for doing data analysis. However, you probably aren't sure where to get started. That was the exact same place I was when I first heard about how to do data analysis in Python.  It was even more challenging having only a single undergraduate class (5 years ago) in programming and only self-taught coding experience elsewhere. In this tutorial, I aim to guide the class through the process of doing data analysis, from problem formulation to coding to deriving conclusions. I will be emphasizing one underrepresented yet crucial step that typically does not get discussed in most workshops, that is the step of translating the problem into a series of computable steps using data structures that are amenable to analysis.	Eric Ma	Science	Are you interested in doing analysis but don't know where to start? This tutorial is for you. Python packages & tools (IPython, scikit-learn, NetworkX) are powerful for performing data analysis. However, little is said about formulating the questions and tying these tools together to provide a holistic view of the data. This tutorial will provide you with an introduction on how this can be done.	Novice	How to formulate a (science) problem and analyze it using Python code	Wednesday	2014-04-09 09:00:00	2014-04-09 12:20:00
See the outline.	Ned Batchelder	Testing	If you've never written tests before, you probably know you *should*, but view the whole process as a bureaucratic paperwork nightmare to check off on your ready-to-ship checklist.  This is the wrong way to approach testing.  Tests are a solution to a problem that is important to you: does my code work?  I'll show how Python tests are written, and why.	Novice	Getting Started Testing	Saturday	2014-04-12 13:40:00	2014-04-12 14:25:00
Machine learning can be an intimidating topic. Rather than intimidate, this should exhilarate; sure this stuff is science, but it's science you can do on your laptop. We'll discuss how machine learning is actually an accessible topic. There is an interesting set of tools you can play with; there might still be some rocket science involved, but we can treat a fair amount of the truly fancy math as a black box. We'll explore gathering a training set, turning blobs of text into usable data, training models, and the magic that is scikit-learn. We'll use this amazing amount of processing power, data, and science to separate Hacker News articles into buckets of stuff I want to read and stuff I want to pretend doesn't exist. Attendees should learn enough to start experimenting with machine learning themselves.	Ned Jackson Lovely	Science	"It's inevitable that online communities will change, and that we'll remember the community with a fondness that likely doesn't accurately reflect the former reality. We'll explore how we can take a set of articles from an online community and winnow out the stuff we feel is unworthy. We'll explore some of the machine learning tools that are just a ""pip install"" away, such as scikit-learn and nltk."	Intermediate	Enough Machine Learning to Make Hacker News Readable Again	Friday	2014-04-11 13:55:00	2014-04-11 14:25:00
